district_code,subdistrict_code,village_code,village_name,num_households
204,1039,801284,Dhaka (NP) WARD NO.-0012,246
204,1039,801284,Dhaka (NP) WARD NO.-0013,748
204,1039,801284,Dhaka (NP) WARD NO.-0014,510
204,1039,801284,Dhaka (NP) WARD NO.-0015,328
204,1039,801284,Dhaka (NP) WARD NO.-0016,513
204,1039,801284,Dhaka (NP) WARD NO.-0017,382
204,1039,801284,Dhaka (NP) WARD NO.-0018,436
204,1039,801284,Dhaka (NP) WARD NO.-0019,137
204,1039,801284,Dhaka (NP) WARD NO.-0020,365
204,1040,0,Chiraia,57311
204,1040,0,Chiraia,57311
204,1040,217868,Khorha,1086
204,1040,217869,Mahuawa,3775
204,1040,217870,Madhopur,2053
204,1040,217871,Rampur,4307
204,1040,217872,Lachhmipur,333
204,1040,217873,Bara Jairam,2697
204,1040,217874,Jaipal Tola,314
204,1040,217875,Dipahi Dharharwa,1881
204,1040,217876,Bhaluahi,761
204,1040,217877,Sital Patti,947
204,1040,217878,Rupahra,1318
204,1040,217879,Harbolwa,793
204,1040,217880,Raghopur,802
204,1040,217881,Partapur,327
204,1040,217882,Madhubani,1358
204,1040,217883,Bela,496
204,1040,217884,Mirpur,3172
204,1040,217885,Katkuian,997
204,1040,217886,Misrauliya,1148
204,1040,217887,Baijnathpur,954
204,1040,217888,Sundarpur Babhnauli,874
204,1040,217889,Dih Mahuahi,124
204,1040,217890,Sharaun Garh,1269
204,1040,217891,Sopgarha,775
204,1040,217892,Khartari,8183
204,1040,217893,Koilasi,749
204,1040,217894,Pakri Kapur,1792
204,1040,217895,Semra,3057
204,1040,217896,Haraj Nurullahpur,3319
204,1040,217897,Harihara,935
204,1040,217898,Parewa,1088
204,1040,217899,Pareo,764
204,1040,217900,Masaha,610
204,1040,217901,Sirauna,1987
204,1040,217902,Rupahri,387
204,1040,217903,Baluahi,188
204,1040,217904,Bataua,561
204,1040,217905,Kohbarwa,220
204,1040,217906,Harnaraina,834
204,1041,0,Motihari,68608
204,1041,0,Motihari,46384
204,1041,0,Motihari,22224
204,1041,217907,Jhit Kahiya,1972
204,1041,217908,Loknathpur,528
204,1041,217910,Suraha,478
204,1041,217913,Nandpur,207
204,1041,217914,Jamla,306
204,1041,217915,Malkaunia,134
204,1041,217916,Sihulia,231
204,1041,217917,Harkaina,259
204,1041,217918,Kataha,1899
204,1041,217919,Lakhaura,3200
204,1041,217921,Gangia Dih,143
204,1041,217922,Naurangia,727
204,1041,217923,Basbita,271
204,1041,217924,Gamhariya,198
204,1041,217925,Lachhmipur,443
204,1041,217926,Barwa,1048
204,1041,217927,Sarsaula,583
204,1041,217928,Dostia,481
204,1041,217929,Jhitkahiya,578
204,1041,217930,Karmaula,145
204,1041,217931,Gulariya,382
204,1041,217932,Semra,216
204,1041,217933,Ramgarhwa,871
204,1041,217934,Ray Singha,255
204,1041,217935,Garahia,115
204,1041,217936,Paterhwa,113
204,1041,217939,Chhatauni Ram singh,683
204,1041,217941,Santpur,179
204,1041,217942,Tharghatwa,629
204,1041,217943,Haraj Tola Lachhmipur,678
204,1041,217944,Bharaulia,174
204,1041,217945,Patparia Moran,339
204,1041,217946,Patparia Hal,533
204,1041,217947,Basantpur,570
204,1041,217948,Basantpur Tola Babu,135
204,1041,217949,Basantpur Tola Banra,158
204,1041,217950,Rup Dih,576
204,1041,217951,Barkurwa,212
204,1041,217952,Said Nagar,201
204,1041,217953,Harian Chhapra,318
204,1041,217954,Loksa,122
204,1041,217955,Dharmuhan,489
204,1041,217956,Bairia,430
204,1041,217957,Chararhiya,865
204,1041,217958,Bankat,764
204,1041,217959,Bariyarpur,2268
204,1041,217960,Baswaria,1058
204,1041,217961,Pataura Tola Lala,1150
204,1041,217962,Pataurra Tola Mathia,610
204,1041,217963,Pataura Tola Gorhwa,1082
204,1041,217965,Basmahpur Agarwa,318
204,1041,217966,Basmanpur,1666
204,1041,217967,Sirsa Khap,781
204,1041,217968,Sirsamal,1160
204,1041,217969,Rulahi,1408
204,1041,217973,Dhekaha                                                 (Part in Pipra Kothi)  * *,4423
204,1041,217974,Tikuliya,1002
204,1041,217975,Harajpur,949
204,1041,217976,Madhubani,2538
204,1041,217978,Bardaha,881
204,1041,217979,Chhatauni Amar (Part),612
204,1041,217980,Pataura Tola Bhataha,284
204,1041,801285,Motihari (Nagar Parishad),22224
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0001,343
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0002,674
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0003,601
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0004,759
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0005,389
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0006,357
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0007,522
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0008,430
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0009,226
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0010,783
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0011,472
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0012,732
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0013,491
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0014,958
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0015,546
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0016,388
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0017,666
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0018,934
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0019,531
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0020,346
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0021,550
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0022,603
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0023,641
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0024,320
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0025,558
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0026,915
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0027,854
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0028,478
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0029,570
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0030,729
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0031,959
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0032,772
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0033,347
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0034,442
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0035,390
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0036,400
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0037,766
204,1041,801285,Motihari (Nagar Parishad) WARD NO.-0038,782
204,1042,0,Turkaulia,36654
204,1042,0,Turkaulia,36654
