district_code	subdistrict_code	village_code	village_name	num_households
209	1119	222026	Miapur	799
209	1119	222028	Miapur Gachh	233
209	1119	222029	Maldoar	651
209	1119	222030	Dakaita	157
209	1119	222031	kalahi	212
209	1119	222032	Bualdanti	123
209	1119	222033	Gohans	133
209	1119	222034	Ramnagar	211
209	1119	222035	Kujri	1877
209	1119	222036	Garhara	1208
209	1119	222037	Bhatwara	448
209	1119	222038	Belbari	220
209	1119	222040	Chandipur	449
209	1119	222041	Pipra	123
209	1119	222042	Dipnagar	379
209	1119	222043	Barkumba	264
209	1119	222044	Daulatpur	165
209	1119	222045	Kathora	219
209	1119	222046	Bargaon	150
209	1119	222047	Naranga	169
209	1119	222048	Behari	178
209	1119	222050	Nakta	236
209	1119	222051	Sonakandar	145
209	1119	222052	Khapra	469
209	1119	222053	Nakta Khurd	336
209	1119	222055	Kashibari	455
209	1119	222057	Goshainpur	181
209	1119	222058	Budhi	267
209	1119	222059	Sohandar	331
209	1119	222060	Bhadauna	420
209	1119	222062	Baraili	280
209	1119	222064	Domaria	343
209	1119	222065	Tarbi	425
209	1119	222066	Belbari	214
209	1119	222067	Marichgaon	386
209	1119	222069	Harwa	217
209	1119	222070	Ramnagar	1365
209	1119	222071	Denga	474
209	1119	222073	Maina	308
209	1119	222075	Gyaspur	309
209	1119	222076	Beni	417
209	1119	222077	Pakri	483
209	1119	222081	Dala	326
209	1119	222082	Majlispur	578
209	1119	222083	Urlaha	618
209	1119	222084	Sobagmara	532
209	1119	222085	Dhantola	576
209	1119	222086	Hasanpura	292
209	1119	222087	Hasanpur	188
209	1119	222088	Jahanpur	219
209	1119	222089	Dakaita	200
209	1119	222090	Gopalnagar	418
209	1119	222091	Chahatpur	2416
209	1119	222092	Dhangawan	683
209	1119	222093	Lokhra	211
209	1119	222096	Pothia	435
209	1119	222098	Balua	457
209	1119	222099	Majhua	218
209	1119	222100	Mohania	1053
209	1119	222101	Purandaha	322
209	1119	222103	Parwakhori	625
209	1119	222104	Seyampur	366
209	1119	222105	Pechaili	1472
209	1119	222106	Bhikha	524
209	1119	222107	Dehti	3570
209	1119	222108	Korhaili	988
209	1119	222109	Bakainia	434
209	1119	222110	Rupail	443
209	1119	222111	Madhail	157
209	1119	222112	Sukhsaina	1132
209	1119	222113	Jurail	204
209	1120	222114	Bairgachhi	183
209	1120	222115	Kesarra	884
209	1120	222116	Dharmeshwar Gachh	553
209	1120	222117	Khuti Kharia	538
209	1120	222118	Hardar	678
209	1120	222119	Jahanpur	373
209	1120	222120	Satghara	484
209	1120	222121	Rani	254
209	1120	222122	Semaria	867
209	1120	222123	Barhuwa	669
209	1120	222124	Gogra	693
209	1120	222125	Bhagwanpur	711
209	1120	222126	Satbhita	679
209	1120	222127	Satbhita Kamat	122
209	1120	222128	Masuria	1268
209	1120	222129	Bagesari	807
209	1120	222130	Gerki	667
209	1120	222131	Matiari	173
209	1120	222132	Matiari	948
209	1120	222133	Bagdahara	1525
209	1120	222134	Gamharia	367
209	1120	222135	Kakan	2687
209	1120	222136	Taran	2165
209	1120	222137	Duba	1624
209	1120	222138	Bagmara	444
209	1120	222139	Dhobinia	523
209	1120	222140	Khirdaha	808
209	1120	222141	Singar Mohani	432
209	1120	222142	Sisauna	2493
209	1120	222143	Artia	419
209	1120	222144	Jokihat	307
209	1120	222145	Dhanpura	273
